Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Chandler Rivers,DUKE,CB,34,18,52,0.0,0,4,1,13,1,0
CJ Taylor,VAN,LB,27,25,52,3.0,8,3,2,35,0,2
Kip Lewis,OU,LB,29,23,52,0.0,17,0,0,0,0,0
Maverick Baranowski,MINN,LB,23,29,52,1.0,5,2,0,0,0,0
Jaylan Ware,ULM,DL,14,38,52,0.0,0,0,0,0,0,0
Cedarious Barfield,SDSU,S,27,24,51,0.0,21,2,4,16,0,1
Shawn Preston Jr.,MSST,S,23,28,51,0.0,0,1,3,3,0,2
Ron Stone Jr.,WSU,DE,24,27,51,5.0,8,1,0,0,0,3
Kitan Oladapo,ORST,DB,29,22,51,1.0,0,5,2,14,0,1
BJ Davis,ECU,LB,29,22,51,0.0,0,7,0,0,0,2
Giovanni Biggers,UNC,DB,31,20,51,0.0,0,1,1,5,0,0
Rashad Wisdom,UTSA,S,41,10,51,2.0,9,4,0,0,0,1
Shad Banks Jr.,TCU,LB,35,16,51,1.0,0,1,0,0,0,1
Te'Rai Powell,MASS,DB,32,19,51,0.0,3,3,0,0,0,0
Tongiaki Mateialona,NEV,LB,31,20,51,1.0,42,0,0,0,0,2
Jack Dingle,CIN,LB,27,24,51,1.0,52,1,0,0,0,0
Darius Green,MINN,DB,30,21,51,0.0,0,1,0,0,0,0
Christian Ellis,UNM,S,30,21,51,0.0,2,3,0,0,0,0
Cameron Smith,MEM,DB,41,10,51,0.0,10,5,3,13,0,0
Jailin Walker,JMU,LB,25,26,51,1.5,4,4,0,0,0,2
Mbiti Williams Jr.,NAVY,DE,33,18,51,0.0,0,3,1,15,0,1
Shavon Revel,ECU,DB,27,24,51,1.0,0,6,0,0,0,0
Xavier Benson,OKST,LB,28,22,50,1.5,47,1,0,0,0,1
C.J. Goetz,WIS,LB,21,29,50,4.0,0,2,1,0,0,1
Michael Dowell,M-OH,DB,27,23,50,0.0,4,3,2,17,0,1
Ben Kopenski,TLSA,DL,29,21,50,8.5,48,0,0,0,0,2
Tyler Nubin,MINN,DB,32,18,50,1.0,0,4,4,14,0,1
Justin Whiteside,CMU,LB,29,21,50,0.0,48,0,0,0,0,1
Yanni Karlaftis,PUR,LB,28,22,50,2.5,0,0,0,0,0,0
Alaka'i Gilman,STAN,S,29,21,50,0.0,9,3,1,0,0,0
Nahji Logan,MASS,LB,26,24,50,0.5,0,1,0,0,0,0
Kydran Jenkins,PUR,LB,38,12,50,7.5,0,1,0,0,0,1
Laletia Hale,JVST,LB,26,24,50,1.0,0,0,0,0,0,0
Jalen Green,JMU,DL,24,26,50,15.5,4,1,1,24,1,2
Isaiah Nwokobia,SMU,S,33,17,50,1.0,0,2,2,25,1,0
